,Frequência
diz,8
irã,5
vai,5
contra,5
lula,4
veja,4
israel,4
eua,4
putin,3
abin,3
paralela,3
bolsonaro,3
ataque,3
juros,3
morte,2
vestibular,2
segurança,2
critica,2
avanço,2
governo,2
