Título,Link,Seção,Data
"Bolsonaro e Carlos como membros da organização criminosa, espionagem política: os principais pontos da Abin paralela",https://g1.globo.com/politica/noticia/2025/06/18/bolsonaro-e-carlos-como-membros-da-organizacao-criminosa-espionagem-politica-os-principais-pontos-da-abin-paralela.ghtml,politica,19/06/2025
"Abin paralela: programa israelense de espionagem foi usado sem permissão legal e com viés político, diz PF",https://g1.globo.com/politica/noticia/2025/06/18/abin-paralela-programa-israelense-de-espionagem-foi-usado-sem-permissao-legal-e-com-vies-politico-diz-pf.ghtml,politica,19/06/2025
Novo Nissan Kicks chega a partir de R$ 164.990; veja o teste,https://g1.globo.com/carros/noticia/2025/06/18/novo-nissan-kicks-veja-o-teste.ghtml,economia,19/06/2025
"Banco Central eleva Selic para 15% ao ano, maior patamar desde 2006",https://g1.globo.com/economia/noticia/2025/06/18/selic-15percent.ghtml,economia,19/06/2025
"Brasil sobe para 2º no ranking de maiores juros reais do mundo, após nova alta da Selic; veja lista",https://g1.globo.com/economia/noticia/2025/06/18/brasil-sobe-para-2o-no-ranking-de-maiores-juros-reais-do-mundo-apos-nova-alta-da-selic-veja-lista.ghtml,economia,19/06/2025
Mais de mil pessoas ficaram milionária por dia nos EUA em 2024,https://g1.globo.com/economia/video/mais-de-mil-pessoas-ficaram-milionarias-por-dia-nos-eua-em-2024-13691963.ghtml,economia,19/06/2025
"Fed mantém juros dos EUA na faixa de 4,25% a 4,50% ao ano, ainda de olho no efeito Trump",https://g1.globo.com/economia/noticia/2025/06/18/decisao-fed-juros-eua-junho.ghtml,economia,19/06/2025
"Grupo hacker ligado a Israel ataca corretora de criptomoedas do Irã e destrói US$ 90 milhões, diz agência",https://g1.globo.com/mundo/noticia/2025/06/18/grupo-hacker-ligado-a-israel-ataca-corretora-de-criptomoedas-do-ira-e-destroi-us-90-milhoes-diz-agencia.ghtml,tecnologia,19/06/2025
"Campus Party 2025 começa nesta quarta no Mané Garrincha, em Brasília; veja programação",https://g1.globo.com/df/distrito-federal/noticia/2025/06/18/campus-party-2025-comeca-nesta-quarta-no-mane-garrincha-em-brasilia-veja-programacao.ghtml,tecnologia,19/06/2025
Irã acusa WhatsApp de espionagem para Israel; empresa reafirma que mensagens são invioláveis,https://g1.globo.com/tecnologia/noticia/2025/06/18/ira-acusa-whatsapp-de-espionagem-para-israel-empresa-reafirma-que-mensagens-sao-inviolaveis.ghtml,tecnologia,19/06/2025
Amazon avisa funcionários que vai empregar menos gente graças à inteligência artificial,https://g1.globo.com/tecnologia/noticia/2025/06/18/amazon-avisa-funcionarios-que-vai-empregar-menos-gente-gracas-a-inteligencia-artificial.ghtml,tecnologia,19/06/2025
