,Frequência
diz,11
após,9
paulo,9
veja,7
alta,7
brasil,7
contra,5
sobre,5
juros,5
novo,5
ranking,4
prefeitura,4
família,4
afirma,4
mil,4
bolsonaro,4
anos,4
acordo,3
ano,3
irã,3
