Título,Seção,Data,Link
"Reinaldo: Petistas e bolsonaristas empatados? Isso tem explicação, é claro!",Principal,19/06/2025,https://noticias.uol.com.br/colunas/reinaldo-azevedo/2025/06/18/reinaldo-petistas-e-bolsonaristas-empatados-isso-tem-explicacao-e-claro.htm
Foco nos mais pobres: a rota de Lula para recuperar popularidade,Principal,19/06/2025,https://noticias.uol.com.br/colunas/beatriz-bulla/2025/06/14/a-rota-do-governo-para-recuperar-popularidade-entre-os-mais-pobres.htm
Luiza Trajano defende 'cota de transição' feminina em conselhos de estatais,Principal,19/06/2025,https://noticias.uol.com.br/colunas/carla-araujo/2025/06/17/luiza-trajano-defende-cota-de-transicao-feminina-em-conselhos-de-estatais.htm
O Alquimista: ex-seguidores acusam guru de SP de charlatanismo e assédio,Principal,19/06/2025,https://tab.uol.com.br/noticias/redacao/2025/06/06/o-alquimista-ex-seguidores-acusam-guru-de-sp-de-charlatanismo-e-assedio.htm
"Esquecemos a covid? Sistema de saúde evoluiu, mas vacinação cai e preocupa",Principal,19/06/2025,https://tab.uol.com.br/noticias/redacao/2025/05/20/heranca-negacionista-e-doenca-controlada-o-cenario-da-covid-no-brasil.htm
"SP só entrega 18,5% dos ônibus elétricos prometidos; prefeitura culpa Enel",Principal,19/06/2025,https://tab.uol.com.br/noticias/redacao/2025/05/13/meta-onibus-eletrico-2024-nao-atingida-prefeitura-sao-paulo.htm
"UEA 2026: confira editais do Vestibular e SIS com mais de 3,7 mil vagas",Principal,19/06/2025,https://vestibular.brasilescola.uol.com.br/noticias/uea-anuncia-editais-do-vestibular-2026-e-sis-2025-com-oferta-de-curso-em-alta/357847.html
Inep abre inscrições para Encceja Exterior 2025,Principal,19/06/2025,https://brasilescola.uol.com.br/noticias/inep-abre-inscricoes-encceja-exterior-2025/3132393.html
UFSM 2026: inscrição do Vestibular está aberta,Principal,19/06/2025,https://vestibular.brasilescola.uol.com.br/noticias/ufsm-no-rs-esta-com-inscricao-aberta-do-vestibular-2026/357843.html
"Ressarcimento aos aposentados do INSS será em uma parcela, diz ministro",Principal,19/06/2025,https://economia.uol.com.br/noticias/redacao/2025/06/18/ressarcimento-inss-parcela-fraude-agu.htm
"Banco Central aumenta os juros pela sétima vez, e Selic vai a 15% ao ano",Principal,19/06/2025,https://economia.uol.com.br/noticias/redacao/2025/06/18/banco-central-copom-selic-taxa-de-juros-inflacao.htm
CEO do Camarote Salvador relembra caso de racismo: 'Vítima foi acolhida',Principal,19/06/2025,https://economia.uol.com.br/noticias/redacao/2025/06/18/ceo-do-camarote-salvador-relembra-caso-de-racismo-vitima-foi-acolhida.htm
"Pneu se solta de carreta e quase atinge dois motociclistas; veja vídeoUma câmera de segurança registrou na manhã desta segunda-feira (16), na BR-376, em Marialva, o momento em que o...18/06/2025 21h08",Principal,19/06/2025,https://tnonline.uol.com.br/noticias/parana/pneu-se-solta-de-carreta-e-quase-atinge-dois-motociclistas-veja-video-997365
"Putin alerta Alemanha sobre fornecimento de mísseis Taurus à UcrâniaSÃO PETERSBURGO, RÚSSIA (Reuters) -     O presidente da Rússia, Vladimir Putin, alertou a Alemanha nesta...18/06/2025 20h58",Principal,19/06/2025,https://noticias.uol.com.br/ultimas-noticias/reuters/2025/06/18/putin-alerta-alemanha-sobre-fornecimento-de-misseis-taurus-a-ucrania.htm
Erick se transforma em furacão de categoria 3 em seu avanço rumo ao México (NHC)O furacão Erick ganhou mais força nesta quarta-feira (18) para alcançar a categoria 3 da escala Saffir-Simpson (de18/06/2025 20h55,Principal,19/06/2025,https://noticias.uol.com.br/ultimas-noticias/afp/2025/06/18/erick-se-transforma-em-furacao-de-categoria-3-em-seu-avanco-rumo-ao-mexico-nhc.htm
"Bolsonaro usou documentos da 'Abin paralela' em live contra urnas, diz PF18/06/2025 20h55",Principal,19/06/2025,https://noticias.uol.com.br/politica/ultimas-noticias/2025/06/18/bolsonaro-usou-documentos-da-abin-paralela-em-live-contra-urnas-diz-pf.htm
